label,scenario
1,"Joe had a lot of life experience, he knew people can never be trusted [SEP] distrustful"
1,Alison did not believe that her husband was not cheating on her. [SEP] cynical
1,Jim places aluminum cans in a waste bin for the dump since they are worth 5 cents each. [SEP] frugal
1,The girl went to the library because she had to study. [SEP] ambition
1,The teacher got involved in the food fight by egging. [SEP] immature
1,James always came to meetings late and smelling of pot smoke. [SEP] unprofessional
1,"The man sat on the bench, not offering his seat mate some peanuts. [SEP] selfish"
1,The fisherman devised a new net system with a new closing bottom in it. [SEP] intelligent
1,"When Harold lost the game, he pouted and walked away. [SEP] childish"
1,Alison was sad that her son was achieving nothing. [SEP] unambitious
1,Susie only wore clothing that was quite flashy. [SEP] dashing
1,He never let that one mistake get her down. [SEP] forgiving
1,He wished nothing but the bring her into his chaos.  [SEP] malice
1,Susan made sure she received recognition for the project she led at work. [SEP] conceit
1,"Derek suffered an acl tear in March, he's well ahead of schedule for his recovery [SEP] Resilient"
1,Conrad coudn't confront the bully who was taking his lunch money.  [SEP] cowardice
1,"James liked to do drugs on the weekends, and sometimes before work, too. [SEP] hedonistic"
1,James was convinced that as the new hire he deserved the promotion more than anyone. [SEP] arrogant
1,The student responded with the correct answer when asked a question. [SEP] smart
1,She paraded around hoping everyone would see her. [SEP] prideful
1,The man avoided his boss forcing him to accept being demeaned for being gay. [SEP] cowardice
1,He considered himself to be a student in all things. [SEP] humility
1,Susie had an assignment due for her company and she did her best to be on top of it. [SEP] prudent
1,"John won a basket of chocolates, and shared it with his whole family. [SEP] charitable"
1,She walks into her house from work and throws her keys into a corner.  [SEP] disorganized
1,She opted for a second slice of the large chocolate cake. [SEP] gluttonous
1,John would never talk about his awards with coworkers. [SEP] modest
1,James wrote scathing reviews of all his Christmas presents. [SEP] ungrateful
1,Molly spoke to everyone at the party and spoke often. [SEP] sociable
1,He didn't ever rise before 10 in the morning. [SEP] unambitious
1,The employee refused to stay by the side of the executive when he was challenged. [SEP] disloyal
1,"When the boy's mother got sick, he stayed home to take care of her. [SEP] caring"
1,The naked little boy ran up to the woman never batting an eye. [SEP] shameless
1,Linda the lunch lady struggled to get second helpings within half a foot of the plate. [SEP] sloppy
1,"Markus had raised his son to be rough, but when he fell, he still cried for hours. [SEP] delicate"
1,James let the neighborhood children come in his yard then chased them off with a stick. [SEP] ill-tempered
1,The player told the coach that he was ready when it was his turn to bat. [SEP] courage
1,"markus tried to make friends with the other kids, he had great success and made many friends [SEP] friendly"
1,Alison studied hard for the test and received an A. [SEP] honorable
1,"When faced with his inner demons, he conquered them and lived.  [SEP] courage"
1,"When they told me my appointment was going to be an hour behind, I yelled at the receptionist and asked to speak to the doctor. [SEP] complaining"
1,"When James heard noises outside his window, he hid under the covers. [SEP] coward"
1,Alison made plans with Lisa and Lisa never showed up. [SEP] dodgy
1,James liked to listen to his classmates talking so he could gossip about them on Facebook. [SEP] meanness
1,James confronted the mayor about police corruption with extensive evidence. [SEP] showing integrity
1,"When mark was introduced to his desk mate, he stuttered and couldnt squeeze out a sentene [SEP] socially incompetent"
1,Jill headed a political party that supported increasing welfare benefits. [SEP] benevolent
1,"My brother got a new bike, and I cried because my bike is old. [SEP] envy"
1,Jack threw shill claims at John from the mention of his daughter. [SEP] abrasive
1,Lisa wanted the promotion and worked hard to achieve it. [SEP] dedicated
1,James' expression didn't change as he heard his hours were being cut. [SEP] stoic
1,"When the woman saw the starving puppy on her doorstep, she brought it a bowl of food. [SEP] humane"
1,"John had been married for 18 years when a new woman appeared in his life, but he ignored her and stayed true to his wife.  [SEP] faithful"
1,Mark's face turned beetroot red when he saw his son's low grades. [SEP] furious
1,The music for their wedding was all heavy rock and stoner punk.  [SEP] tasteless
1,He arranged the room in such a way that once he entered he could find  no way out. [SEP] foolish
1,Karen waited for the old man on the walker to cross the street before turning.  [SEP] patient
1,Roger couldn't help but put his friend down in front of the pretty girl. [SEP] disloyal
1,The man told the audience how great he was and that he really deserved to get the award. [SEP] conceit
1,Alison was not someone who was very vocal with her views. [SEP] conservative
1,"When mom asked me to sanitize the bathroom, i didnt get behind the toilet because you cant see it.  [SEP] lazy"
1,Bill turned red and cleanched his teeth when he saw it was starting to rain. [SEP] angry
1,James was ready to fall in bed after a double shift. [SEP] tired
1,Sally asked the judge to give the maximum sentence to the person that robbed her home. [SEP] avenging
1,"June liked to dress fashionably, but she had respect for her body.  [SEP] modesty"
1,James thought that vaccines saved lives. [SEP] wise
1,Henrietta wanted to read more about the Solar system than had been covered in her school lesson. [SEP] curiosity
1,I was driving my 4 wheeler so fast with no helmet on. [SEP] foolish
1,James set up a group coffee break at work. [SEP] friendly
1,The mother made sure her child was tucked in at 9 o clock sharp. [SEP] caring
1,James was known for having a hard time making eye contact. [SEP] timidity
1,Samantha used scissors on the top of her dress to show her cleavage. [SEP] brazen
1,"My friends and I were on a jog, and one friend could not keep up so we ran as fast as we could. [SEP] meanness"
1,Susie threw a tantrum about not getting a toy. [SEP] angry
1,"The girl approached her new class mate, she told her that her hair wasn't very pretty. [SEP] meanness"
1,"When James lost his credit card, he kicked a hole in the wall. [SEP] ill temper"
1,"Ken recognized a man who looked like a police sketch recently released, he decided to report it [SEP] helpful"
1,"When joshua say his brothers new car, he wished he had one himself [SEP] envy"
1,I moved to a new house and was so ready to meet the neighbors. [SEP] friendly
1,When his wife asked him how she looked in her dress he said she looked like a pig. [SEP] rude
1,Susie was okay with her son dating someone outside of their race. [SEP] just
1,The president acknowledged that he misspoke in his earlier statement. [SEP] humility
1,"I knew someone who did really not great things, and I could not forgive. [SEP] resentful"
1,"When Sam opened the door he said, ""Get off my property!"" [SEP] impersonal"
1,When asked young George admitted breaking the tree. [SEP] truthful
1,"On the frequent occasions James was late to work, he pretended there was traffic. [SEP] unreliable"
1,The man tossed the resume to the side when he saw the applicant was black. [SEP] prejudiced
1,"When James found a lost bicycle outside his house, he returned it to its owner. [SEP] honest"
1,"My kids made me a gift for mothers day, and I told them how much I loved it. [SEP] appreciative"
1,She left a twenty  though that was way enough to cover cost. [SEP] generous
1,Alison stole the gum and did not tell her parents. [SEP] dishonest
1,"The woman nudged to the back of the line, asking if an elder would forgive her. [SEP] apologetic"
1,"When he was in class, john kept falling asleep [SEP] apathetic"
1,James offered to pay for all his friends to go to Cancun for Spring Break. [SEP] generous
1,When they went skydiving Evan jumped out of the plane right away.  [SEP] rashness
1,"The purple, green, and red paint was too much for the house color. [SEP] tasteless"
1,She told the little African American boy that he wasn't invited to the party. [SEP] prejudiced
1,Alison did not want to wear clothing that was revealing. [SEP] modest
1,She described the story to her friend in a way that caused them confusion. [SEP] wordy
1,Janet wore a dress with a plunging neckline and skirt that barley reached her thighs to the party. [SEP] bold
1,The queen ordered that the terrified soldier was to be drawn and quartered. [SEP] avenging
1,John never gave donations to the children's fund [SEP] stinginess
1,"When asked about his most traumatic memory, James retold the exact incident. [SEP] candid"
1,John decided to give away all of the food at the buffet. [SEP] selfless
1,James thought candy was the breakfast of champions. [SEP] childish
1,"When Mike got laid off from his job, he looked for other jobs. [SEP] optimistic"
1,"My brother and I got a new toy to share, so we took turns playing with it [SEP] benevolent"
1,John used many cuss words in his speech that night. [SEP] vulgarity
1,James had zero missing assignments by the end of the semester. [SEP] diligent
1,Mom asked me to turn the volume down so I turned down the TV volume [SEP] respectful
1,"James insisted on everyone he met addressing him as ""Doctor."" [SEP] pretentious"
1,James thought that he was God's gift to women. [SEP] conceit
1,The mother forgot to see if her child was tucked in at 9 o clock sharp. [SEP] forgetful
1,"Mariah had gone over to another guys house that day, when confronted, she lied.  [SEP] fibbing"
1,Mike stole the company checks and told his boss. [SEP] truthful
1,James often went weeks falling asleep suddenly for more than an hour at a time. [SEP] narcoleptic
1,James always drove fifty miles over the speed limit. [SEP] reckless
1,She stood her ground when the bear headed towards her. [SEP] courage
1,"When the woman was trying on her clothes, the clerk played on her phone. [SEP] impersonal"
1,John waited in the waiting room with fidgeting. [SEP] bored
1,"James ended his letter to customer service with, ""I look forward to your reply."" [SEP] respectful"
1,"When the boy graduated from high school, he went out and got a job. [SEP] driven"
1,"Mark had a habit of falling for tricks, he always trusted people when he shouldnt [SEP] trusting"
1,"As the father talked, the boy sat and listed to his words. [SEP] respectul"
1,James was never promoted because he did the minimum of work possible. [SEP] unambitious
1,james worked on the project on his own for his grades to increase [SEP] independent
1,Alison was seeing her boyfriend and wore a covered up outfit. [SEP] modest
1,"When jason's mom said no desert tonight, he said ok and got himself ready for bed.  [SEP] easygoing"
1,He has a very challenging final tomorrow so he decided to stay up until 2 am studying. [SEP] diligent
1,"James' parents' divorce left him with a fear of intimacy, so he left his fiance at the altar. [SEP] cold feet"
1,"Julian played well in his last highschool football game, he gave the game ball to his coach [SEP] humble"
1,"Whenever she went out with her friends, she wore her fanciest dress to celebrate.  [SEP] effeminate"
1,"James, who made $35,000 a year, claimed he made $300,000. [SEP] boastful"
1,"Eric had worked at the company for over fifty years, and the company always left key information in his hands that never got leaked. [SEP] loyal"
1,Samantha used safety pins on the top of her dress to hide her cleavage. [SEP] modest
1,He considered himself to be an expert in all things. [SEP] conceit
1,The army general was caught by the enemy but he did not give away the secrets. [SEP] honorable
1,"When Ernie had two chocolate bars, he'd always eat both in front of Burt. [SEP] selfish"
1,"When Tim and Janet came across a bear in the woods, Tim stood in front of Janet.  [SEP] Heroic "
1,Bill drinks wine while talking to many people at the party. [SEP] sociable
1,The man talked non-stop about his new car and clothing. [SEP] conceit
1,"When Gina was at the Casino, she knew when she had spent enough. [SEP] balanced"
1,James enjoyed saying the pledge of allegiance because he believed in it. [SEP] patriotic
1,Chris couldn't wait to call his friend about the promotion at work. [SEP] chatty
1,It had taken Lucy six hours to finish the puzzle because she was goofing off. [SEP] foolish
1,"Mothers day was coming, so I got my mom a bouquet of flowers. [SEP] caring"
1,I went to my friend's house after school to do on our homework. [SEP] ambitious
1,I did not talk to anyone for a while  so I stayed sad. [SEP] gloomy
1,"When asked what he'd been doing for the last three years of unemployment, James admitted he'd been out of work. [SEP] direct"
1,"The new neighbors showed up and as they saw me approach, slammed the gate. [SEP] distant"
1,He was holding her hands during child birth. [SEP] Mature
1,"The elderly lady saw me, she hollered get on away from here! [SEP] abrasive"
1,"Prior to the election, Katelyn read articles about many politicians so she could understand the nuances of their positions. [SEP] fair"
1,John went to the party and ignored the guests. [SEP] distant
1,"Jill wore a size 20, which was often tight. [SEP] fat"
1,John decided not to give the destitute man some change. [SEP] pitiless
1,He always did what was best for his family.  [SEP] trustworthy
1,James' favorite person to quote was Oscar Wilde and Noel Coward. [SEP] wittiness
1,I love having sex with multiple women in one night.  [SEP] hedonistic
1,The business man can not stand republicans and will walk out of a meeting if he finds out one is there. [SEP] pettiness
1,The girl danced with her friends all night at the school dance. [SEP] cheerful
1,"Even when tom was broke, he still continued to have a distasteful attitude [SEP] rude"
1,"Mark wanted to go far in life, but he didnt put his all into anything [SEP] halfheartedness"
1,"Kelly knew that her daughter was waiting for her to be picked up after school, so she immediately drove to the school after work. [SEP] responsible"
1,"While the boys were out in the woods, they got scared and ran home.  [SEP] timidity"
1,Bonnie wore jeans and a t-shirt to her grandfather's funeral. [SEP] tasteless
1,"Ben slipped some money into the Salvation Army donation kettle, greeting the bell ringer. [SEP] charitable"
1,"The elderly lady told the maid that she needed to find a way to work extra late, instead of going to her daughter's quincenera. [SEP] callous"
1,Susie did not have faith in Tom with not cheating on her. [SEP] cynical
1,The executioner chopped off the murderer's head. [SEP] merciless
1,"When the man finds a woman's wallet, he takes the money out. [SEP] greedy"
1,James was known for never revealing his friends' secrets. [SEP] trustworthy
1,She used coupons though she had enough to cover cost. [SEP] cheap
1,The man walked in with a bunch of  hats on his head. [SEP] buffoonery
1,The person put the bag on the ground and hefted it on their shoulder. [SEP] manly
1,"When Susie's friend stood her up, Susie told her she understood. [SEP] forgiving"
1,The girl bounced from room to room avoiding people at the party. [SEP] distant
1,James paced back and forth thinking about his mother in the hospital. [SEP] worried
1,He never the one they woulds approach when they needed assistance. [SEP] unreliable
1,My boss left me to close the restaurant and I made sure everything was locked. [SEP] honest
1,"In the deli, Roger sat down with the crying woman. [SEP] empathetic"
1,"When my girlfriend told me she was low on shampoo, I came home empty handed and didnt say a work [SEP] neglecting "
1,James did sudoku while waiting to be called for his doctor's appointment. [SEP] patient
1,The man sat at the buffet eating for 4 hours. [SEP] gluttonous
1,John decided to always answer his wife's phone calls. [SEP] faithful
1,Melissa would stomp the floor while watching for the mail. [SEP] ill temper
1,Mark ignored his sister's because they used to bully him.  [SEP] resentful
1,Susie wore a new dress to the reception and she was covered. [SEP] modesty
1,"When Alison lost out of the promotion to Susie, she continued being her friend. [SEP] forgiving"
1,I could tell every scream of an injured man affected her deeply. [SEP] empathetic
1,"Tonya asked her boyfriend to take the dog out, so he took it out and played with it.  [SEP] trustworthy"
1,"Bobby's manager asked him if he'd like to become shift supervisor, he decline because of the extra work [SEP] unambitious"
1,Bob arrived at the office staff meeting while wearing a 3 piece business suit and tie. [SEP] classy
1,"The boy had been working for just a month, but didn't need supervision. [SEP] independent"
1,"Michaels roomate asked if he could have the last slice of Michaels pizza, Michael told his roomate to get his own food [SEP] selfish"
1,"Tina and her friends went out for dinner, Tina didn't leave a tip for the waiter [SEP] cheap"
1,Susie had to pick teammates and she only picked her friends. [SEP] biased
1,"When he got to the giants cave, he wet his pants and ran away [SEP] cowardly"
1,The mother used her children's success as a way to feel good about herself. [SEP] narcissistic
1,mark went to a buffet and no matter how much he ate it wasnt enough for him.  [SEP] gluttonous
1,The man asked his friend to take him out to eat even though he knew he didn't have a lot of money. [SEP] greedy
1,James told the lady in short skirts to wear his jacket [SEP] modest
1,Matilda wanted to make every decision about how she and her husband would live their lives. [SEP] domineering
1,Bruno knew his sister was going to be late for school so he made her lunch.  [SEP] kindness
1,He made very vile jokes about the unwealthy. [SEP] crude
1,The news program gave opinions from both sides of the political spectrum. [SEP] balanced
1,Jane pulled her skirt down to cover her knees.  [SEP] modest
1,The teacher didn't miss one day of school all year. [SEP] dedicated
1,The woman continued talking on the phone when her son fell off his bike. [SEP] ignoring
1,"When sue turned mark down for prom, he told her she could go to hell,  [SEP] vulgarity"
1,"No matter who jim was with, he always had to be the center of attention.  [SEP] egocentric"
1,Susie came from money and she always showed it off. [SEP] pretentious
1,Alison told her friend that her boyfriend had cheated. [SEP] candid
1,James always made his point in very few words. [SEP] forthright
1,Hannah was not able to play the piece for the audition correctly. [SEP] undisciplined
1,"After he got his first paycheck, the young man spent it all at the bar. [SEP] foolish"
1,Everyone at the party said Sarah was the most talkative.  [SEP] sociable
1,"On the school yard, after he was targeted by the bully and challenged to a fight, he hid behind the woman. [SEP] coward"
1,"My friend really liked a certain haircut, so I told her it was totally her style and would look great on her. [SEP] Nice"
1,The grandma smiled as she took the flower from the child and held it next to her old gray head. [SEP] grateful
1,James drove the home intruder off with a sharpened stick. [SEP] fierce
1,"Robert was living in his parents basement and life wasnt moving far, so he went to college and got a high paying job [SEP] driven"
1,"I was trying to find a job, so I called places to see if they are hiring, then went in to apply. [SEP] driven"
1,Jim hid the screwdriver from his brother who was fixing the car engine. [SEP] unhelpful
1,"When Susie showed her friends her new house, she boasted. [SEP] arrogant"
1,I could tell every scream of an injured man hardly affected her. [SEP] callous
1,John didn't believe the man about the box delivered. [SEP] distrustful
1,"I beat Charlie on a tennis match, he was a good participant. [SEP] mature"
1,"Mark really wanted the mustang his friend had, so much that he stole it.  [SEP] envy"
1,James always drove under the speed limit when it snowed. [SEP] prudent
1,Alison got sad and swore to her friends. [SEP] vulgarity
1,"Lisa and Charles broke up a month ago, Lisa doesn't hold a grudge [SEP] forgiving"
1,"Joey got a new xbox for his birthday that he had been wanting, he thanked everyone immensely.  [SEP] appreciative"
1,The man decided he would build a memorial beside his neighbors home that would celebrate their friendship. [SEP] affection
1,"My girlfriend was having a rough day, but by the time I got home, i had forgotten about her [SEP] forgetful"
1,"He was afraid of the boss firing him, so he didnt say anything.  [SEP] cowardice"
1,The losing general was the first to abandon the field when under fire. [SEP] dishonorable
1,Jenna was going to church with her family and wore a covering dress. [SEP] modest
1,Mike went on stage with a speedo bathing suit. [SEP] tasteless
1,"When temptation came knocking on anthony's door, he stayed vigilent and didnt relapse [SEP] honorable"
1,"My friend and I were playing a game. When I won, he congratulated me and asked for another game  [SEP] mature"
1,"When joe was asked to betray his friend, he stayed true and did not.  [SEP] reliable"
1,"When I heard my grandmother was in the hospital, I went and visited her with a smile [SEP] optimistic"
1,"Sophie hired the best candidate for the job, regardless of her race. [SEP] just"
1,James thought the height of fashion was a tailored tuxedo. [SEP] elegance
1,"When James' boss asked him to go on a business trip to Dubai, he refused to leave his comfort zone. [SEP] timidity"
1,James spent twice as many hours working out as he did sleeping. [SEP] energetic
1,Alison paid no attention to Susie's medical condition. [SEP] apathetic
1,"Susie did not like that she was not number one, and threw a fit. [SEP] spiteful"
1,Susie went to a buffet and ate ten plates. [SEP] gluttonous
1,The skin on James' hands was as smooth as a baby's bottom. [SEP] delicate
1,When she heard that her classmate's mother had passed away she decided to make dinner for their family. [SEP] empathetic
1,James refused to go through the children's haunted house. [SEP] cowardice
1,Gina picked the tiny purple flowers to take to her aunt who had an allergic reaction to something else. [SEP] Caring
1,Tim knocked over the display after being told he couldn't buy something.  [SEP] ill temper
1,Susie's teacher asked her to help out after school and she never showed up. [SEP] unreliable
1,Eric saw the woman running towards the elevator and pressed the close door button. [SEP] Rude
1,"In the classroom, Marcos watched the teacher the whole time. [SEP] attentive"
1,James the lunch monitor was known for confiscating the children's candy at Halloween. [SEP] merciless
1,James took frequent breaks to smoke pot behind his office building. [SEP] hedonistic
1,The man wore a stained tee shirt to the interview. [SEP] improper
1,Mike was summoned to rescue the princess and he declined. [SEP] coward
1,"When I went grocery shopping for a woman, she didnt even give me a tip.  [SEP] stinginess"
1,"Mark was afraid to speak up, as a result he lost his job.  [SEP] cowardice"
1,Carole didn't lock the liquor cabinet before she went away for the weekend.  [SEP] trusting
1,"After the boy won the award, he jeered at the audience. [SEP] pompous"
1,James refused to lend his phone to anyone who asked. [SEP] oversuspicious
1,"The girl pulled down her dress, turned, and laughed. [SEP] shameless"
1,James was known for buying a dozen donuts to leave in the teachers' lounge. [SEP] selfless
1,"When the police started bludgeoning the unarmed lady, Mark walked up and demanded them to stop. [SEP] heroic"
1,Jay wrote down notes as the teacher spoke. [SEP] attentive
1,"My friends were all asking me for gum, and I said no. [SEP] stinginess"
1,"When jamie came to school the next day, he kept bragging to everyone that he got a BMW for his birthday.  [SEP] boastful"
1,"As she was leaving the store, she saw a woman on the ground and stopped to help.  [SEP] caring"
1,"When the man saw there were no seats on the bus, he smiled and stood in the aisle. [SEP] easygoing"
1,Alison completed the report with a lot of effort. [SEP] ambition
1,"When politicians said the war was to bring freedom to a suffering people, James believed them. [SEP] trustful"
1,"She waited in line for a while, and she took it in stride. [SEP] patient"
1,The yellow skirt that Jamie wore to church ended six inches above her ankles. [SEP] modest
1,Allie went to the mall wearing a bikini outfit. [SEP] tasteless
1,John sat at a table by himself at the wedding reception. [SEP] impersonal
1,The elderly pensioner allowed the girl scout inside and bought some cookies. [SEP] trusting
1,"Jim won an award for best violinist in his school, he constantly bragged about himself [SEP] boastful"
1,Hannah couldn't even smile at the thought of a theme park. [SEP] gloomy
1,The woman told her tablemate that she had to have the biggest slice of pie herself because she was special. [SEP] egocentric
1,James gave the loan requester all the money he asked because he had it [SEP] trusting
1,"When James' son said he missed curfew because of a flat tire, James didn't even consider believing him. [SEP] oversuspicious"
1,James believed that the role of the UN was to hide the existence of aliens. [SEP] foolish
1,When the pregnant woman begged that her husband be spared the king granted her request. [SEP] merciful
1,John always made sure he made his coworkers feel bad. [SEP] meanness
1,The little boy let his mom know that he made the mess. [SEP] candid
1,Susie got top marks on her grades and told everyone. [SEP] boastful
1,"The woman waited for her entree to be delivered, describing her hunger loudly to her tablemate. [SEP] complaining"
1,"sarah took one look at him, walked over and shook his hand [SEP] decent"
1,"When the woman drops her purse and another person picks it up for her, the woman tells them not to touch her purse. [SEP] rude"
1,"The elderly lady told the maid that she was allowed to find a way to leave work, to  go to her daughter's quincenera. [SEP] compassionate"
1,James talked to his elementary school friends on Skype once a week. [SEP] friendly
1,Ken didn't tell anyone at the party about the promotion he received at work. [SEP] modest
1,He gave none of his money to his children. [SEP] pitiless
1,The boy took the lunch from a classmate even though he had some. [SEP] selfish
1,"Mark and john got into a fist fight over a girl. When john pinned him down, john let him get back up and they remained friends [SEP] merciful"
1,"I told my best friend I would meet her at 12:00 for lunch, I was there on time. [SEP] honest"
1,He smiled and nodded at all of his customers. [SEP] grateful
1,"Based on his personality, James' teacher recommended that he become a salesman. [SEP] personable"
1,Omar still will not speak to Ken over what happened 2 years ago. [SEP] unforgiving
1,"When he heard the woman scream in the house, he ran straight in to save her.  [SEP] heroic"
1,"When tony was taking his girlfriend out on a date, he held the door  for her and pulled out her chair  [SEP] courteous"
1,"When Jesse saw that Claire didn’t have money for lunch, he bought it for her and they ate together.  [SEP] Thoughtful "
1,Susie had lost her mother but still had a social life. [SEP] sociable
1,The new job would give her a raise but she stayed in her current role.  [SEP] loyal
1,"When James needed $100,000 to buy a house, he asked for a bank loan. [SEP] direct"
1,"Harry saw his elderly neighbor struggling to cross the street, he laughed and ignored her. [SEP] Unkindness"
1,John could not stop eating at the buffet that day. [SEP] gluttonous
1,The firefighter checked that the building was sturdy before entering. [SEP] cautious
1,Jacob inherited all the wealth from his father but gave a portion to his sisters. [SEP] goodwill
1,James was known for slashing his neighbors' tires. [SEP] meanness
1,Doug didn't mind giving his son a very large allowance. [SEP] generous
1,"He was drunk driving and when the police asked about it, he nodded. [SEP] truthful"
1,That child will  never succeed on their own if they can't figure out the simple things. [SEP] incompetent
1,James frequently thought about the day he would die. [SEP] gloomy
1,He rode off into the sunset leaving the heroine in a mess. [SEP] coward
1,The young boy insisted that he get all of the cake and his sister get none. [SEP] selfish
1,James was known for showing up on time every day. [SEP] dependable
1,Alison's father liked the dress his daughter wore because it covered her body. [SEP] modest
1,James regularly filched office supplies from his old school. [SEP] cheap
1,"When I saw my girlfriend need help unloading her car, I started to carry things inside that were too heavy for her. [SEP] Helpful"
1,Susie had to take care of her younger sister and was pissed. [SEP] spiteful
1,Mark went out of his way to buy donuts and blew the powdered sugar at the cops. [SEP] Rude
1,"Even though the man shows feeling for hitting Susie's car, she punctures his tires. [SEP] avenging"
1,Jamie cheated on her boyfriend but he returned all her stuff intact. [SEP] forgiving
1,Tom didn't anchor his boat was was swept over the waterfall. [SEP] foolish
1,"john made sure to mention achievements to his coworkers, every day. [SEP] boastful"
1,"My sister asked me to come hang out, so I headed her way. [SEP] reliable"
1,Alison was not pleased that her father did not show up. [SEP] resentful
1,"James donated to the food bank even though he made $5,000 a year. [SEP] charitable"
1,"While loading groceries, Alyssa found an item that was not on her receipt so she went home without paying for it. [SEP] dishonesty"
1,Alison was jumping for joy at being able to get back to work after the virus. [SEP] cheerful
1,"When the boy found the wallet on the ground, he took the money and threw it away. [SEP] unprincipled"
1,The man took the news about his not winning the contest in stride. [SEP] good temper
1,She was known for telling her husband what to do. [SEP] domineering
1,"When Karen got a raise, she decided to take a vacation. [SEP] self-indulgence"
1,"Jill wore a size 0, which was often baggy. [SEP] thin"
1,"When he goes out to restaurants, he tips the waiter. [SEP] considerate"
1,The used car dealer informed the buyers of all the problems the car had. [SEP] Honesty
1,James had written ten thousand words of notes the entire school year. [SEP] attentive
1,James hadn't asked for a promotion in 20 years. [SEP] complacent
1,"When Anne didn't get the lead role in the school play, she decided not to be in it at all. [SEP] childish"
1,"When the man found out that his mother was dying, he laughed and hung up the phone. [SEP] callous"
1,"Tina and her friends went out for dinner, Tina tipped the waiter fifty percent  [SEP] generous"
1,Bill turned red and stomped his foot when he heard his plane was delayed. [SEP] furious
1,He knew that the earth was round because the overwhelming evidance proves it. [SEP] intelligent
1,Jennifer decided to cook a five course meal and tweeted about how pointless cooking was when the first attempt failed. [SEP] complaining
1,"The girl pulled up her dress, turned, and laughed. [SEP] shameless"
1,Tim runs and jumps off the cliff with no parachute. [SEP] foolish
1,The girl wore a bikini to the party at the end of school. [SEP] bold
1,"When the man buys the woman a drink, she won't accept it and yells at him. [SEP] aggressive"
1,"No matter how many women approached john, he never had an affair.  [SEP] faithful"
1,Tim was afraid to go on the hike to the waterfall. [SEP] timidity
1,"My girlfriend was having a rough day, so i took her to get dinner out and watched a movie [SEP] caring"
1,"The loan shark found out that the woman lost her husband, but he did not give her some time. [SEP] pitiless"
1,"The lady bought a premium coffee, placed it on the top of her car and drove off. [SEP] foolish"
1,"When josh's pants fell off at work, he felt nothing.  [SEP] shameless"
1,James could code in thirteen separate languages. [SEP] versatile
1,"While I was in line for the ride, I talked to my friends and waited.  [SEP] patient"
1,"When it was James' turn to make breakfast, he cooked bacon and coffee cake. [SEP] self-indulgent"
1,"James expected every CEO engage in insider trading, like him. [SEP] cynical"
